sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9
M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,11
M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11
M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11
M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9
F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10
M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
